dealType,food,link
49.99,Gran Coramino Reposado Cristalino Tequila,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$3 OFF WITH MFR DIGITAL COUPON,Any 1 Degree Unlimited Antiperspirant Deodorant or Dry Spray,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
2 FOR $9,Jonny Pops,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$8.99 ,Method Deodorant,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
Buy 2 Get 2.00 Off,Old Spice Deodorant,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
2 FOR $7,Highkey Cookies or Crackers,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$2.99 ,Popchips,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
5 FOR $5,A-Game Hydration Drink,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
Buy 2 Get 2.00 Off,Pantene Pro-V Hair Care Products,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$2 OFF WITH MFR DIGITAL COUPON,Any 1 Poise or Depend Overnight Protection,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
35.99,Coconut Cartel Special Rum,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232546
$4 OFF,"Any 2: Aleve or Aleve PM 80–270-ct., AleveX 2.5–3-oz, Bayer 200–300-ct. or Midol 40-ct.",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$5 OFF,"Any 1 Allegra 12–70-ct., Allegra Kids 4-oz or 12-ct., Xyzal 35–80-ct. or Nasacort .37–.57-oz",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$10.79 ,Breathe Right,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
4.00 Off,Claritin Allergy Medicine,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
2 for 8.00,Colgate Total Toothpaste,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
4.99,Crest 3D White Toothpaste,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
1.00 Off,Crest 3D White Rinse,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
$13.49 ,Flonase,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
7.99,GoMacro Protein Bar,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232789
